Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Chapter-4: Moving Charges and Magnetism|Moving coil galvanometer- its current sensitivity and conversion to ammeter and voltmeter|Empty|||11
Chapter-5: Magnetism and Matter|Bar magnet|Empty|||1
Chapter-5: Magnetism and Matter|Bar magnet as an equivalent solenoid (qualitative treatment only)|Empty|||2
Chapter-5: Magnetism and Matter|Magnetic field intensity due to a magnetic dipole (bar magnet) along its axis and perpendicular to its axis (qualitative treatment only)|Empty|||3
Chapter-5: Magnetism and Matter|Torque on a magnetic dipole (bar magnet) in a uniform magnetic field (qualitative treatment only)|Empty|||4
Chapter-5: Magnetism and Matter|Magnetic field lines|Empty|||5
Chapter-5: Magnetism and Matter|Magnetic properties of materials- Para-, dia- and ferro - magnetic substances with examples|Empty|||6
Chapter-5: Magnetism and Matter|Magnetization of materials|Empty|||7
Chapter-5: Magnetism and Matter|Effect of temperature on magnetic properties|Empty|||8
Chapter-6: Electromagnetic Induction|Electromagnetic induction|Empty|||1
Chapter-6: Electromagnetic Induction|Faraday's laws|Empty|||2
Chapter-6: Electromagnetic Induction|Induced EMF and current|Empty|||3
Chapter-6: Electromagnetic Induction|Lenz's Law|Empty|||4
Chapter-6: Electromagnetic Induction|Self and mutual induction|Empty|||5
Chapter-7: Alternating Current|Alternating currents|Empty|||1
Chapter-7: Alternating Current|Peak and RMS value of alternating current/voltage|Empty|||2
Chapter-7: Alternating Current|Reactance and impedance|Empty|||3
Chapter-7: Alternating Current|LCR series circuit (phasors only)|Empty|||4
Chapter-7: Alternating Current|Resonance|Empty|||5
Chapter-7: Alternating Current|Power in AC circuits|Empty|||6
Chapter-7: Alternating Current|Power factor|Empty|||7
Chapter-7: Alternating Current|Wattless current|Empty|||8
Chapter-7: Alternating Current|AC generator|Empty|||9
Chapter-7: Alternating Current|Transformer|Empty|||10
Chapter-8: Electromagnetic Waves|Basic idea of displacement current|Empty|||1
Chapter-8: Electromagnetic Waves|Electromagnetic waves, their characteristics, their transverse nature (qualitative idea only)|Empty|||2
Chapter-8: Electromagnetic Waves|Electromagnetic spectrum (radio waves, microwaves, infrared, visible, ultraviolet, X-rays, gamma rays) including elementary facts about their uses|Empty|||3
Chapter-9: Ray Optics and Optical Instruments|Ray Optics: Reflection of light|Empty|||1
Chapter-9: Ray Optics and Optical Instruments|Spherical mirrors|Empty|||2
Chapter-9: Ray Optics and Optical Instruments|Mirror formula|Empty|||3
Chapter-9: Ray Optics and Optical Instruments|Refraction of light|Empty|||4
Chapter-9: Ray Optics and Optical Instruments|Total internal reflection and optical fibers|Empty|||5
Chapter-9: Ray Optics and Optical Instruments|Refraction at spherical surfaces|Empty|||6
Chapter-9: Ray Optics and Optical Instruments|Lenses|Empty|||7
Chapter-9: Ray Optics and Optical Instruments|Thin lens formula|Empty|||8
Chapter-9: Ray Optics and Optical Instruments|Lens maker's formula|Empty|||9
Chapter-9: Ray Optics and Optical Instruments|Magnification|Empty|||10
Chapter-9: Ray Optics and Optical Instruments|Power of a lens|Empty|||11
Chapter-9: Ray Optics and Optical Instruments|Combination of thin lenses in contact|Empty|||12
Chapter-9: Ray Optics and Optical Instruments|Refraction of light through a prism|Empty|||13
Chapter-9: Ray Optics and Optical Instruments|Optical instruments: Microscopes and astronomical telescopes (reflecting and refracting) and their magnifying powers|Empty|||14
Chapter-10: Wave Optics|Wave optics: Wave front and Huygen's principle|Empty|||1
Chapter-10: Wave Optics|Reflection and refraction of plane wave at a plane surface using wave fronts|Empty|||2
Chapter-10: Wave Optics|Proof of laws of reflection and refraction using Huygen's principle|Empty|||3
Chapter-10: Wave Optics|Interference|Empty|||4
Chapter-10: Wave Optics|Young's double slit experiment and expression for fringe width (No derivation final expression only)|Empty|||5
Chapter-10: Wave Optics|Coherent sources and sustained interference of light|Empty|||6
Chapter-10: Wave Optics|Diffraction due to a single slit|Empty|||7
Chapter-10: Wave Optics|Width of central maxima (qualitative treatment only)|Empty|||8
Chapter-11: Dual Nature of Radiation and Matter|Dual nature of radiation|Empty|||1
Chapter-11: Dual Nature of Radiation and Matter|Photoelectric effect|Empty|||2
Chapter-11: Dual Nature of Radiation and Matter|Hertz and Lenard's observations|Empty|||3
Chapter-11: Dual Nature of Radiation and Matter|Einstein's photoelectric equation-particle nature of light|Empty|||4
Chapter-11: Dual Nature of Radiation and Matter|Experimental study of photoelectric effect|Empty|||5
Chapter-11: Dual Nature of Radiation and Matter|Matter waves-wave nature of particles|Empty|||6
Chapter-11: Dual Nature of Radiation and Matter|de-Broglie relation|Empty|||7
Chapter-12: Atoms|Alpha-particle scattering experiment|Empty|||1
Chapter-12: Atoms|Rutherford's model of atom|Empty|||2
Chapter-12: Atoms|Bohr model of hydrogen atom|Empty|||3
Chapter-12: Atoms|Expression for radius of nth possible orbit|Empty|||4
Chapter-12: Atoms|Velocity and energy of electron in nth orbit|Empty|||5
Chapter-12: Atoms|Hydrogen line spectra (qualitative treatment only)|Empty|||6
Chapter-13: Nuclei|Composition and size of nucleus|Empty|||1
Chapter-13: Nuclei|Nuclear force|Empty|||2
Chapter-13: Nuclei|Mass-energy relation|Empty|||3
Chapter-13: Nuclei|Mass defect|Empty|||4
Chapter-13: Nuclei|Binding energy per nucleon and its variation with mass number|Empty|||5
Chapter-13: Nuclei|Nuclear fission|Empty|||6
Chapter-13: Nuclei|Nuclear fusion|Empty|||7
Chapter-14: Semiconductor Electronics: Materials, Devices and Simple Circuits|Energy bands in conductors, semiconductors and insulators (qualitative ideas only)|Empty|||1
Chapter-14: Semiconductor Electronics: Materials, Devices and Simple Circuits|Intrinsic and extrinsic semiconductors- p and n type|Empty|||2
Chapter-14: Semiconductor Electronics: Materials, Devices and Simple Circuits|p-n junction|Empty|||3
Chapter-14: Semiconductor Electronics: Materials, Devices and Simple Circuits|Semiconductor diode - I-V characteristics in forward and reverse bias|Empty|||4
Chapter-14: Semiconductor Electronics: Materials, Devices and Simple Circuits|Application of junction diode -diode as a rectifier|Empty|||5
