Chapter Name|Topic Name|Status|Assigned Date|Completed Date|Order
Chapter-10: Thermal Properties of Matter|Heat|Empty|||1
Chapter-10: Thermal Properties of Matter|Temperature|Empty|||2
Chapter-10: Thermal Properties of Matter|Thermal expansion|Empty|||3
Chapter-10: Thermal Properties of Matter|Thermal expansion of solids, liquids and gases|Empty|||4
Chapter-10: Thermal Properties of Matter|Anomalous expansion of water|Empty|||5
Chapter-10: Thermal Properties of Matter|Specific heat capacity|Empty|||6
Chapter-10: Thermal Properties of Matter|Cp, Cv - calorimetry|Empty|||7
Chapter-10: Thermal Properties of Matter|Change of state - latent heat capacity|Empty|||8
Chapter-10: Thermal Properties of Matter|Heat transfer-conduction, convection and radiation|Empty|||9
Chapter-10: Thermal Properties of Matter|Thermal conductivity|Empty|||10
Chapter-10: Thermal Properties of Matter|Qualitative ideas of Blackbody radiation|Empty|||11
Chapter-10: Thermal Properties of Matter|Wein's displacement Law|Empty|||12
Chapter-10: Thermal Properties of Matter|Stefan's law|Empty|||13
Chapter-11: Thermodynamics|Thermal equilibrium and definition of temperature|Empty|||1
Chapter-11: Thermodynamics|Zeroth law of thermodynamics|Empty|||2
Chapter-11: Thermodynamics|Heat, work and internal energy|Empty|||3
Chapter-11: Thermodynamics|First law of thermodynamics|Empty|||4
Chapter-11: Thermodynamics|Second law of thermodynamics: Thermodynamic state variable and equation of state|Empty|||5
Chapter-11: Thermodynamics|Change of condition of gaseous state - isothermal, adiabatic, reversible, irreversible, and cyclic processes|Empty|||6
Chapter-12: Kinetic Theory|Equation of state of a perfect gas|Empty|||1
Chapter-12: Kinetic Theory|Work done in compressing a gas|Empty|||2
Chapter-12: Kinetic Theory|Kinetic theory of gases assumptions|Empty|||3
Chapter-12: Kinetic Theory|Concept of pressure|Empty|||4
Chapter-12: Kinetic Theory|Kinetic interpretation of temperature|Empty|||5
Chapter-12: Kinetic Theory|rms speed of gas molecules|Empty|||6
Chapter-12: Kinetic Theory|Degrees of freedom|Empty|||7
Chapter-12: Kinetic Theory|Law of equi-partition of energy (statement only) and application to specific heat capacities of gases|Empty|||8
Chapter-12: Kinetic Theory|Concept of mean free path|Empty|||9
Chapter-12: Kinetic Theory|Avogadro's number|Empty|||10
Chapter-13: Oscillations|Periodic motion - time period, frequency|Empty|||1
Chapter-13: Oscillations|Displacement as a function of time|Empty|||2
Chapter-13: Oscillations|Periodic functions and their applications|Empty|||3
Chapter-13: Oscillations|Simple harmonic motion (S.H.M)|Empty|||4
Chapter-13: Oscillations|Uniform circular motion and its equations of motion|Empty|||5
Chapter-13: Oscillations|Phase|Empty|||6
Chapter-13: Oscillations|Oscillations of a loaded spring- restoring force and force constant|Empty|||7
Chapter-13: Oscillations|Energy in S.H.M|Empty|||8
Chapter-13: Oscillations|Kinetic and potential energies|Empty|||9
Chapter-13: Oscillations|Simple pendulum derivation of expression for its time period|Empty|||10
Chapter-14: Waves|Wave motion: Transverse and longitudinal waves|Empty|||1
Chapter-14: Waves|Speed of travelling wave|Empty|||2
Chapter-14: Waves|Displacement relation for a progressive wave|Empty|||3
Chapter-14: Waves|Principle of superposition of waves|Empty|||4
Chapter-14: Waves|Reflection of waves|Empty|||5
Chapter-14: Waves|Standing waves in strings and organ pipes|Empty|||6
Chapter-14: Waves|Fundamental mode and harmonics|Empty|||7
Chapter-14: Waves|Beats|Empty|||8
